P, AuRi,N/A,AutoRifle_0,5477,9215,inf,34980,40,inf,449,1,inf,338,829
P, AuRi,N/A,AutoRifle_1,9378,5566,inf,34351,53,inf,601,1,inf,551,970
P, AuRi,N/A,AutoRifle_2,8431,7513,inf,33473,56,inf,711,1,inf,374,632
P, AuRi,N/A,AutoRifle_3,5728,7953,inf,46067,42,inf,638,1,inf,535,967
P, AuRi,N/A,AutoRifle_4,6395,7109,inf,30515,48,inf,467,1,inf,359,531
P, AuRi,N/A,AutoRifle_5,6515,9736,inf,39262,31,inf,393,1,inf,541,938
P, AuRi,N/A,AutoRifle_6,6065,7262,inf,33487,28,inf,622,1,inf,593,906
P, AuRi,N/A,AutoRifle_7,9555,5312,inf,35469,56,inf,436,1,inf,324,767
P, AuRi,N/A,AutoRifle_8,5724,6385,inf,37686,26,inf,544,1,inf,390,974
P, AuRi,N/A,AutoRifle_9,7514,7123,inf,32310,42,inf,606,1,inf,451,919
P, AuRi,N/A,AutoRifle_10,6649,8194,inf,32024,56,inf,396,1,inf,400,603
P, AuRi,N/A,AutoRifle_11,5555,7410,inf,45590,29,inf,506,1,inf,279,779
P, AuRi,N/A,AutoRifle_12,7742,7299,inf,30869,43,inf,513,1,inf,419,611
P, AuRi,N/A,AutoRifle_13,9724,5501,inf,42623,54,inf,713,1,inf,455,734
P, AuRi,N/A,AutoRifle_14,9340,9820,inf,34916,41,inf,497,1,inf,531,933
P, AuRi,N/A,AutoRifle_15,6402,8861,inf,37807,30,inf,395,2,inf,405,513
P, AuRi,N/A,AutoRifle_16,9467,7623,inf,35290,54,inf,381,1,inf,404,801
P, AuRi,N/A,AutoRifle_17,8919,6470,inf,46653,41,inf,697,1,inf,351,502
P, AuRi,N/A,AutoRifle_18,6569,9303,inf,40149,26,inf,461,1,inf,472,561
P, AuRi,N/A,AutoRifle_19,9922,8601,inf,45059,56,inf,540,1,inf,356,580
P, AuRi,N/A,AutoRifle_20,9034,6753,inf,35564,27,inf,668,1,inf,539,894
P, AuRi,N/A,AutoRifle_21,9038,5452,inf,38937,58,inf,374,1,inf,376,672
P, AuRi,N/A,AutoRifle_22,9764,9124,inf,48314,30,inf,361,1,inf,331,924
